eng,fi
"<div id=""recordingLabel"">Recording..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br><div id=""counter"">&nbsp;</div><br>How much time do we have left<br>How much time do we have left<br>How much time do we have left now<br>How much time do we have left<br><br>After you have sung along three times, press Next to continue.","<div id=""recordingLabel"">Tallennetaan..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br><div id=""counter"">&nbsp;</div><br>Kuinka paljon kello on<br>Kuinka paljon kello on<br>Kuinka paljon kello on nyt<br>Kuinka paljon kello on<br><br>Kun olet laulanut laulun kolme kertaa mukana, jatka painamalla Seuraava."
"<div id=""recordingLabel"">Recording..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br>After you have recorded the sentence, wait a few seconds or press Next to continue<br>","<div id=""recordingLabel"">Tallennetaan..</div><img id=""recButton"" id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br>Kun olet sanonut lauseen, odota muutama sekunti tai jatka painamalla Seuraava<br>"
"<div id=""recordingLabel"">Recording..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br><div id=""counter"">&nbsp;</div><br>Happy birthday to you<br>Happy birthday to you<br>Happy birthday dear Hannah<br>Happy birthday to you<br><br>After you have sung the song, press Next to continue.<br>","<div id=""recordingLabel"">Tallennetaan..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br><div id=""counter"">&nbsp;</div><br>Paljon onnea vaan<br>Paljon onnea vaan<br>Paljon onnea Hanna<br>Paljon onnea vaan<br>Kun olet laulanut laulun, jatka painamalla Seuraava.<br>"
"Here you may listen to your voice recording.<br>If you wish to adjust your microphone, press the Record again button and then say “Singing is for everyone” with your normal speaking voice.","Tässä voit kuunnella äänityksesi.<br>Jos haluat säätää mikrofoniasi, paina Tallenna uudestaan -nappia ja sano “Laulu kuuluu kaikille” normaalilla puheäänellä."
"Here you may listen to your voice recording.<br>If there are issues with the sound, press the Record again button and then say “Singing is for everyone” with your normal speaking voice<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""recaudio.play()""><br><br>","Tässä voit kuunnella äänityksesi.<br>Jos äänitys ei kuulosta hyvältä, paina Tallenna uudestaan -nappia ja sano “Laulu kuuluu kaikille” normaalilla puheäänellä.<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""recaudio.play()""><br><br>"
Let's start with a short singing warm-up and see which vocal range is most comfortable for you to sing.,"Tehdään alkuun lyhyt lauluäänen lämmittely ja katsotaan, miltä äänialalta sinun on mukavin laulaa."
"First let's select your voice type.<br><br>Are you a woman, man or child?<br><br>Select by pressing button.<br><br>","Ensin valitaan äänityyppisi.<br><br>Oletko nainen, mies vai lapsi?<br><br>Valitse painamalla nappia.<br><br>"
Woman,Nainen
Man,Mies
Child,Lapsi
"By pressing the buttons below you will hear Happy Birthday sung from three vocal ranges (low, middle, high).<br><br><div id=""jspsych-html-button-response-btngroup""><button class=""jspsych-btn laulu-btn"" onclick=""mid_en.pause(); mid_en.currentTime=0; high_en.pause(); high_en.currentTime=0; low_en.play()"">Low</button><button class=""jspsych-btn laulu-btn"" onclick=""low_en.pause(); low_en.currentTime=0; high_en.pause(); high_en.currentTime=0; mid_en.play()"">Middle</button><button class=""jspsych-btn laulu-btn"" onclick=""low_en.pause(); low_en.currentTime=0; mid_en.pause(); mid_en.currentTime=0; high_en.play()"">High</button></div>","Alla olevia nappeja painamalla kuulet laulun Paljon onnea laulettuna kolmelta äänialalta (matala, keski, korkea).<br><br>Kokeile kaikkia ja laula mukana.<br><br><div id=""jspsych-html-button-response-btngroup""><button class=""jspsych-btn laulu-btn"" onclick=""mid_fi.pause(); mid_fi.currentTime=0; high_fi.pause(); high_fi.currentTime=0; low_fi.play()"">Matala</button><button class=""jspsych-btn laulu-btn"" onclick=""low_fi.pause(); low_fi.currentTime=0; high_fi.pause(); high_fi.currentTime=0; mid_fi.play()"">Keski</button><button class=""jspsych-btn laulu-btn"" onclick=""low_fi.pause(); low_fi.currentTime=0; mid_fi.pause(); mid_fi.currentTime=0; high_fi.play()"">Korkea</button></div>"
Which vocal range felt most comfortable for you to sing?<br><br>Select by pressing button.<br><br>,Mikä ääniala tuntui sinusta mukavimmalta laulaa?<br><br>Valitse painamalla nappia.<br><br>
Low,Matala
Mid,Keski
High,Korkea
"In the next task, we ask you to <b>sing back</b> individual tones.<br><br>You will hear syllable “la” sung in specific pitch.<br><br>After hearing the syllable, sing it back as accurately as you can.<br><br>",Seuraavassa tehtävässä pyydämme sinua <b>laulamaan perässä</b> yksittäisiä säveliä.<br><br>Kuulet tavun ”la” laulettuna tietyltä korkeudelta.<br><br>Tavun kuultuasi laula se perässä niin tarkasti kuin pystyt.<br><br>
"Let's start with a practice round.<br><br>Listen first and then sing back.<br><br>Press the Play button to start<br>After you have sung the tone, press Next to continue.<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""testtone.play()"">","Otetaan alkuun harjoittelukierros.<br><br>Kuuntele ensin ja laula sitten perässä.<br><br>Aloita painamalla Soita-nappia.<br>Kun olet laulanut sävelen, jatka painamalla Seuraava.<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""testtone.play()"">"
"<b>Tone <span id=""stimcounter""></span></b><br><br>Listen first and then sing back.<br><br>Press the Record button to start.","<b>Sävel <span id=""stimcounter""></span></b><br><br>Kuuntele ensin ja laula sitten perässä.<br><br>Aloita painamalla Tallenna-nappia."
Thank you for singing!<br><br>How difficult/easy did this task feel?,Kiitos laulustasi!<br><br>Kuinka vaikealta/helpolta tämä tehtävä tuntui?
difficult,vaikea
easy,helppo
"In the next task, we ask you to <b>sing along</b> individual tones.<br><br>You will hear syllable “la” sung in specific pitch two times.<br><br>In the first time, focus on listening, do not sing.<br><br>In the second time, sing along as accurately as you can.<br><br>","Seuraavassa tehtävässä pyydämme sinua <b>laulamaan mukana</b> yksittäisiä säveliä.<br><br>Kuulet tavun ”la” laulettuna tietyltä korkeudelta kahteen kertaan.<br><br>Ensimmäisellä kerralla keskity kuuntelemaan, älä laula.<br><br>Toisella kerralla laula mukana niin tarkasti kuin pystyt.<br><br>"
"Let's start with a practice round.<br><br>Listen first and then sing along.<br><br>Press the Play button to start<br>After you have sung the tone, press Next to continue.<br> <img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""testtonerep()"">","Otetaan alkuun harjoittelukierros.<br><br>Kuuntele ensin ja laula sitten mukana.<br><br>Aloita painamalla Soita-nappia.<br>Kun olet laulanut sävelen, jatka painamalla Seuraava.<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""testtonerep()"">"
"<b>Tone <span id=""stimcounter""></span></b><br><br>Listen first and then sing along.<br><br>Press the Record button to start.","<b>Sävel <span id=""stimcounter""></span></b><br><br>Kuuntele ensin ja laula sitten mukana.<br><br>Aloita painamalla Tallenna-nappia."
"In the next task, we ask you to <b>sing back</b> short melodies.<br><br>You will hear a short melody sung on syllable “la”.<br><br>After hearing the melody, sing it back as accurately as you can.<br><br>",Seuraavassa tehtävässä pyydämme sinua <b>laulamaan perässä</b> lyhyitä melodioita.<br><br>Kuulet tavulla ”la” lauletun lyhyen melodian.<br><br>Melodian kuultuasi laula se perässä niin tarkasti kuin pystyt.<br><br>
"Let's start with a practice round.<br><br>Listen first and then sing back.<br><br>Press the Play button to start<br><br>After you have sung the melody, press Next to continue.<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""testtone.play()"">","Otetaan alkuun harjoittelukierros.<br><br>Kuuntele ensin ja laula sitten perässä.<br><br>Aloita painamalla Soita-nappia.<br><br>Kun olet laulanut melodian, jatka painamalla Seuraava.<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""testtone.play()"">"
"<b>Melody <span id=""stimcounter""></span></b><br><br>Listen first and then sing back.<br><br>Press the Record button to start.","<b>Melodia <span id=""stimcounter""></span></b><br><br>Kuuntele ensin ja laula sitten perässä.<br><br>Aloita painamalla Tallenna-nappia."
"In the next task, we ask you to <b>sing along</b> short melodies.<br><br>You will hear a short melody sung on syllable “la” two times.<br><br>In the first time,focus on listening, do not sing.<br><br>In the second time, sing along as accurately as you can.<br><br>","Seuraavassa tehtävässä pyydämme sinua <b>laulamaan mukana</b> lyhyitä melodioita.<br><br>Kuulet tavulla ”la” lauletun lyhyen melodian kahteen kertaan.<br><br>Ensimmäisellä kerralla keskity kuuntelemaan, älä laula.<br><br>Toisella kerralla laula mukana niin tarkasti kuin pystyt.<br><br>"
"Let's start with a practice round.<br><br>Listen first and then sing along.<br><br>Press the Play button to start<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""testtonerep()""><br>After you have sung the melody, press Next to continue.","Otetaan alkuun harjoittelukierros.<br><br>Kuuntele ensin ja laula sitten mukana.<br><br>Aloita painamalla Soita-nappia.<br><img id=""playButton"" src=""./images/imagesSinging/play-btn.svg"" onclick=""testtonerep()""><br>Kun olet laulanut melodian, jatka painamalla Seuraava."
"<b>Melody <span id=""stimcounter""></span></b><br><br>Listen first and then sing along.<br><br>Press the Record button to start.","<b>Melodia <span id=""stimcounter""></span></b><br><br>Kuuntele ensin ja laula sitten mukana.<br><br>Aloita painamalla Tallenna-nappia."
"In the next task, we ask you to <b>sing from memory</b> the Happy Birthday song.<br><br>The birthday hero is <b>Hannah</b> so sing this for her.<br><br>","Seuraavassa tehtävässä pyydämme sinua <b>laulamaan muistista</b> Paljon onnea -laulun.<br><br>Syntymäpäiväsankari on <b>Hanna</b>, joten laula tämä hänelle.<br><br>"
"So the lyrics are:<br><br>Happy birthday to you<br>Happy birthday to you<br>Happy birthday dear Hannah<br>Happy birthday to you<br><br>When you are ready, press the Record button and start singing.","Laulun sanat siis ovat:<br><br>Paljon onnea vaan<br>Paljon onnea vaan<br>Paljon onnea Hanna<br>Paljon onnea vaan<br><br>Kun olet valmis, paina Tallenna-nappia ja ala laulamaan."
"In the next task, we ask you to <b>sing along</b> the Happy Birthday song.<br><br>The birthday hero is <b>Hannah</b> so let's sing this for her.","Seuraavassa tehtävässä pyydämme sinua <b>laulamaan mukana</b> Paljon onnea -laulun.<br><br>Syntymäpäiväsankari on <b>Hanna</b>, joten lauletaan tämä hänelle."
"So the lyrics are:<br><br>Happy birthday to you<br>Happy birthday to you<br>Happy birthday dear Hannah<br>Happy birthday to you<br><br>When you are ready, press the Record button and start singing.","Laulun sanat siis ovat:<br><br>Paljon onnea vaan<br>Paljon onnea vaan<br>Paljon onnea Hanna<br>Paljon onnea vaan<br><br>Kun olet valmis, paina Tallenna-nappia ja ala laulamaan."
"In the final task, let's learn to sing a <b>novel song</b>.",Viimeisessä tehtävässä opetellaan laulamaan <b>uusi laulu</b>.
"The lyrics go like this:<br><br>How much time do we have left<br>How much time do we have left<br>How much time do we have left now<br>How much time do we have left<br><br><b>Listen</b> to the song once by pressing the Play button<br><br>Just focus on listening, do not sing along<br><img class=""playButton"" src=""./images/imagesSinging/play-btn.svg"" id=""novsongbtn"" onclick=""novsong_play()"">","Laulun sanat menevät näin:<br><br>Kuinka paljon kello on<br>Kuinka paljon kello on<br>Kuinka paljon kello on nyt<br>Kuinka paljon kello on<br><br><b>Kuuntele</b> laulu kertaalleen painamalla Soita-nappia.<br><br>Keskity kuuntelemaan, älä laula mukana<br><img class=""playButton"" src=""./images/imagesSinging/play-btn.svg"" id=""novsongbtn"" onclick=""novsong_play()"">"
Next you will hear the song three times.<br><br><b>Sing along</b> as accurately as you can.<br><br>Press the Record button to start.,Seuraavaksi kuulet laulun kolme kertaa.<br><br><b>Laula mukana</b> niin tarkasti kuin pystyt.<br><br>Aloita painamalla Tallenna-nappia.
Singing task is now completed<br><br>Thank you for participating!<br><br>Press the Home button to return to the starting screen,Laulutehtävä on nyt ohi.<br><br>Kiitos osallistumisestasi!<br><br>Palaa aloitusnäyttöön painamalla Alku-nappia
